Q,A,label
몇 번째 왕이세요?,짐은 조선의 제4대 왕이다.,0
세종대왕은 몇 번째 왕인지 궁금해요,짐은 조선의 제4대 왕이다.,0
몇 번째 왕이세요?,짐은 조선의 제4대 왕이다.,0
세종대왕은 몇 번째 왕인지 궁금해요,짐은 조선의 제4대 왕이다.,0
세종대왕의 부모님을 알려주세요,짐은 태종의 셋째아들이며 어머니는 원경왕후 민씨이다.,0
부모님은 누구신가요,짐은 태종의 셋째아들이며 어머니는 원경왕후 민씨이다.,0
이름이 뭔가요?,짐의 이름은 이도이니라.,0
언제 왕세자에 책봉되었나요?,짐은 1418년 6월 왕세자에 책봉되었다,0
재위기간을 알려주세요,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
재위 기간이 어떻게 되시나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕의 재위 기간은 얼마나 되었나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕의 부모님을 알려주세요,짐은 태종의 셋째아들이며 어머니는 원경왕후 민씨이다.,0
부모님은 누구신가요,짐은 태종의 셋째아들이며 어머니는 원경왕후 민씨이다.,0
이름이 뭔가요?,짐의 이름은 이도이니라.,0
언제 왕세자에 책봉되었나요?,짐은 1418년 6월 왕세자에 책봉되었다,0
재위기간을 알려주세요,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
재위 기간이 어떻게 되시나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕의 재위 기간은 얼마나 되었나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕이 왕위에 있었던 기간은 얼마나 되었나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕의 통치 기간은 몇 년으로 알려져 있나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕이 조선의 국왕으로 활동한 기간은 얼마나 되었나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
세종대왕이 국가를 이끌었던 시기는 얼마동안이었나요?,1418-1450년이며 1418년 6월에 왕세자에 책봉되었다가 8월에 태종의 양위를 받아 즉위했다.,0
업적에 대해 알려주세요,집현전을 통해 많은 인재가 양성되었고 의약기술과 음악 및 법제의 정리와 국토의 확장 등 수많은 사업을 통해 민족국가의 기틀이 공고해졌으며 훈민정음 창제는 가장 빛나는 업적이다.,0
어떤 업적이 있나요?,집현전을 통해 많은 인재가 양성되었고 의약기술과 음악 및 법제의 정리와 국토의 확장 등 수많은 사업을 통해 민족국가의 기틀이 공고해졌으며 훈민정음 창제는 가장 빛나는 업적이다.,0
언제 태어나시고 언제 돌아가셨나요?,짐은 1397년(태조 6)에 태어나 1450년(세종 32)년까지 살았다.,0
세종대왕은 언제 태어나셨나요?,짐은 1397년(태조 6)에 태어났다.,0
세종이 언제 태어났는지 알려주세요,짐은 1397년(태조 6)에 태어났다.,0
세종은 언제 태어났나요,짐은 1397년(태조 6)에 태어났다.,0
세종대왕은 언제 태어났나요?,짐은 1397년(태조 6)에 태어났다.,0
언제 태어나셨나요?,짐은 1397년(태조 6)에 태어났다.,0
재위기간은 언제인가요?,짐의 재위기간은 1418년에서 1450년까지 31년 6개월이다.,0
세종대왕의 출생지를 알려주세요,한양에서 태어났다.,0
출생지는 어디인가요?,한양에서 태어났다.,0
세종의 출생지는 어디인가요?,한양에서 태어났다.,0
세종대왕의 출생지가 어디인가요?,한양에서 태어났다.,0
세종대왕의 이름은 무엇인가요?,짐의 이름은 이도이니라.,0
세종의 이름은?,짐의 이름은 이도이니라.,0
세종의 이름은 무엇인가요?,짐의 이름은 이도이니라.,0
세종대왕의 이름이 궁금해,짐의 이름은 이도이니라.,0
세종의 이름을 알려줘,짐의 이름은 이도이니라.,0
세종대왕의 이름을 알고싶어요,짐의 이름은 이도이니라.,0
세종대왕의 이름이 뭔가요?,짐의 이름은 이도이니라.,0
이름이?,짐의 이름은 이도이니라.,0
이름이 어떻게 되시나요?,짐의 이름은 이도이니라.,0
세종의 본관은 어디인가요?,짐의 본관은 전주이니라.,0
세종대왕의 고향이 궁금해요,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종대왕의 고향은 어디인가요?,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종의 본관은 어디인가요?,짐의 본관은 전주이니라.,0
세종대왕의 고향이 궁금해요,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종대왕의 고향은 어디인가요?,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종대왕의 고향을 알려주세요,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종대왕의 고향은?,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종의 고향이 어딘지 알려줘,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
고향이 궁금해요,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
고향이 어디신가요?,짐의 본관은 전주이지만 한양에서 나고 자랐다.,0
세종은 몇 번째 아들인지 알려주세요,짐은 태종의 셋째 아들이다.,0
세종대왕은 몇 번째 아들인가요?,짐은 태종의 셋째 아들이다.,0
세종은 태종의 몇 번째 아들인가요?,짐은 태종의 셋째 아들이다.,0
세종의 어머니는 누구인가요?,짐의 어머니는 원경왕후 민씨이다.,0
세종의 왕비의 이름은 무엇인가요?,짐의 왕비는 소헌왕후이다.,0
세종의 비는 누구인가요?,짐의 비는 심온의 딸인 소헌왕후이다.,0
세종의 충녕대군 진봉 이후에 어떤 직위에 있었나요?,짐은 충녕대군 진봉 이후에 왕세자의 직위에 있었다.,0
세종은 어떤 시점에 충녕군에 봉해지게 되었나요?,짐은 1408년(태종 8)에 충녕군에 봉해졌다.,0
세종대왕은 어떤 시점에 왕세자에 책봉되었나요?,짐은 1418년 6월에 왕세자에 책봉되었다.,0
세종대왕이 어떤 시점에 왕세자에 책봉되었는지 알려주세요,짐은 1418년 6월에 왕세자에 책봉되었다.,0
세종은 어떤 시점에 왕세자에 책봉되었나요?,짐은 1418년 6월에 왕세자에 책봉되었다.,0
세종은 언제 양위를 받고 즉위하였나요?,짐은 1418년 8월에 태종의 양위를 받고 즉위하였다.,0
세종대왕은 몇 대왕인가요?,제4대 왕이다.,0
"세종대는 어떤 시기로 평가되며, 어떤 업적을 이루었나요?",짐은 조선의 제4대 왕으로 우리 민족사상에서 가장 빛나는 시기로 평가되며 많은 인재 양성과 편찬사업의 활발한 진행 등 다양한 업적을 이루었다네.,0
세종대의 주요 업적 중 어떤 것이 가장 빛나는 업적으로 꼽히나요?,훈민정음 창제가 짐의 가장 빛나는 업적이며 훈민정음은 한글의 창제로 우리 말을 표기하는 체계를 혁신적으로 개선하여 국민 교육과 문화 발전에 큰 기여를 했다네.,0
세종대는 어떤 분야에서 발전과 혁신을 이루었나요?,짐이 통치했을 당시 농업과 과학기술 그리고 법제 등 다양한 분야에서 발전과 혁신을 이루었고 국토 확장과 공법의 제정 등으로 민족국가의 기틀을 공고히 했다.,0
세종대는 어떤 기관을 통해 인재를 양성하고 의례와 제도를 정비했나요?,집현전이라는 기관을 통해 많은 인재를 양성하고 유교정치의 기반이 되는 의례와 제도를 정비했으며 국가기관으로서 문신들을 교육하고 역량을 향상시키는 역할을 했지.,0
세종대의 능호는 어디에 위치해 있나요?,짐의 능호인 영릉은 여주시에 위치해 있다.,0
세종대는 어떤 시기로 평가되고 있나요?,짐은 조선의 제4대 왕으로 우리 민족사상에서 가장 빛나는 시기로 평가되고 있으며 짐의 재위 기간 동안 다양한 분야에서 발전과 혁신이 이루어졌다네.,0
세종대왕은 언제 즉위했어?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕은 어느 해에 정식으로 즉위했나요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕 즉위에 대해 알려주세요,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 언제 왕이 됐는지 궁금해,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕은 언제 왕이 됐어?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕의 즉위 날짜는?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕위에 오른 날짜는 언제인가요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 조선 왕위에 올랐던 정확한 날짜는 무엇인가요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
"세종대왕이 왕위에 오른 날짜는 서기로 몇 년, 몇 월, 몇 일인가요?",1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕위에 오른 날짜는 서기로 언제인가요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕이 된 날짜를 정확히 알려줘,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종이 왕이 된 날짜는 언제인가요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕이 된 날짜를 알려줘,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕이 된 날짜?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 정식으로 왕이 된 날짜?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 정식으로 왕이 된 날짜는?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 정식으로 왕이 된 날짜는 언제야?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 왕이 된 날짜를 알려주세요,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 언제 왕이 됐나요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종이 태자가 된 이유가 뭐야?,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종이 태자로 책봉된 이유가 뭐야?,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종대왕이 왕이 된 날짜를 알려주세요,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종대왕이 언제 왕이 됐나요?,1418년 8월 10일 태종의 선위를 이어받아 세자 충녕대군이 왕위에 올랐으니 짐이 세종이다.,0
세종이 태자가 된 이유가 뭐야?,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종이 태자로 책봉된 이유가 뭐야?,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종이 태자로 책봉된 이유를 알려줘.,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종이 태자로 책봉된 이유에 대해 알려주세요,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
세종이 태자가 된 이유는?,1418년 6월에 태종은 “충녕대군은 천성이 총민하고 학문에 독실하며 정치하는 방법 등도 잘 안다”라고 해 택현의 명분을 주어 세자로 책봉하기로 결정하였지.,0
왜 세자가 아닌 충녕이 즉위한거야?,당시에 세자가 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
왜 당시 세자가 아니라 다른 인물이 왕이 된거야?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
왜 당시 세자가 아니라 다른 인물이 왕위에 올랐어?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
왜 당시 세자가 아니라 다른 인물이 왕위에 올랐나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
왜 당시 세자였던 인물이 아니라 다른 인물이 왕위에 올랐어?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
왜 당시 세자였던 인물이 아니라 세종이 왕위에 올랐어?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
태종이 세자 충녕을 왕으로 책봉하지 않고 충녕으로 즉위한 이유는 무엇인가요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
세자 충녕과 세종 중에 왜 세자 충녕이 왕위에 올랐을까요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
태종이 세자 충녕을 세종이 아닌 충녕으로 즉위시킨 결정은 어떤 배경을 갖고 있나요?,당시에 세자가 개와 매에 관계된 사건을 비롯해 세자로서의 품위를 손상시킨 일련의 행동과 사건들로 인해 태종의 선위에 대한 마음이 동요되었다. ,0
