Q,label
몇 번째 왕이세요?,0
세종대왕은 몇 번째 왕인지 궁금해요,0
몇 번째 왕이세요?,0
세종대왕은 몇 번째 왕인지 궁금해요,0
세종대왕의 부모님을 알려주세요,0
부모님은 누구신가요,0
이름이 뭔가요?,0
언제 왕세자에 책봉되었나요?,0
재위기간을 알려주세요,0
재위 기간이 어떻게 되시나요?,0
세종대왕의 재위 기간은 얼마나 되었나요?,0
세종대왕의 부모님을 알려주세요,0
부모님은 누구신가요,0
이름이 뭔가요?,0
언제 왕세자에 책봉되었나요?,0
재위기간을 알려주세요,0
재위 기간이 어떻게 되시나요?,0
세종대왕의 재위 기간은 얼마나 되었나요?,0
세종대왕이 왕위에 있었던 기간은 얼마나 되었나요?,0
세종대왕의 통치 기간은 몇 년으로 알려져 있나요?,0
세종대왕이 조선의 국왕으로 활동한 기간은 얼마나 되었나요?,0
세종대왕이 국가를 이끌었던 시기는 얼마동안이었나요?,0
업적에 대해 알려주세요,0
어떤 업적이 있나요?,0
언제 태어나시고 언제 돌아가셨나요?,0
세종대왕은 언제 태어나셨나요?,0
세종이 언제 태어났는지 알려주세요,0
세종은 언제 태어났나요,0
세종대왕은 언제 태어났나요?,0
언제 태어나셨나요?,0
재위기간은 언제인가요?,0
세종대왕의 출생지를 알려주세요,0
출생지는 어디인가요?,0
세종의 출생지는 어디인가요?,0
세종대왕의 출생지가 어디인가요?,0
세종대왕의 이름은 무엇인가요?,0
세종의 이름은?,0
세종의 이름은 무엇인가요?,0
세종대왕의 이름이 궁금해,0
세종의 이름을 알려줘,0
세종대왕의 이름을 알고싶어요,0
세종대왕의 이름이 뭔가요?,0
이름이?,0
이름이 어떻게 되시나요?,0
세종의 본관은 어디인가요?,0
세종대왕의 고향이 궁금해요,0
세종대왕의 고향은 어디인가요?,0
세종의 본관은 어디인가요?,0
세종대왕의 고향이 궁금해요,0
세종대왕의 고향은 어디인가요?,0
세종대왕의 고향을 알려주세요,0
세종대왕의 고향은?,0
세종의 고향이 어딘지 알려줘,0
고향이 궁금해요,0
고향이 어디신가요?,0
세종은 몇 번째 아들인지 알려주세요,0
세종대왕은 몇 번째 아들인가요?,0
세종은 태종의 몇 번째 아들인가요?,0
세종의 어머니는 누구인가요?,0
세종의 왕비의 이름은 무엇인가요?,0
세종의 비는 누구인가요?,0
세종의 충녕대군 진봉 이후에 어떤 직위에 있었나요?,0
세종은 어떤 시점에 충녕군에 봉해지게 되었나요?,0
세종대왕은 어떤 시점에 왕세자에 책봉되었나요?,0
세종대왕이 어떤 시점에 왕세자에 책봉되었는지 알려주세요,0
세종은 어떤 시점에 왕세자에 책봉되었나요?,0
세종은 언제 양위를 받고 즉위하였나요?,0
세종대왕은 몇 대왕인가요?,0
"세종대는 어떤 시기로 평가되며, 어떤 업적을 이루었나요?",0
세종대의 주요 업적 중 어떤 것이 가장 빛나는 업적으로 꼽히나요?,0
세종대는 어떤 분야에서 발전과 혁신을 이루었나요?,0
세종대는 어떤 기관을 통해 인재를 양성하고 의례와 제도를 정비했나요?,0
세종대의 능호는 어디에 위치해 있나요?,0
세종대는 어떤 시기로 평가되고 있나요?,0
세종대왕은 언제 즉위했어?,0
세종대왕은 어느 해에 정식으로 즉위했나요?,0
세종대왕 즉위에 대해 알려주세요,0
세종대왕이 언제 왕이 됐는지 궁금해,0
세종대왕은 언제 왕이 됐어?,0
세종대왕의 즉위 날짜는?,0
세종대왕이 왕위에 오른 날짜는 언제인가요?,0
세종대왕이 조선 왕위에 올랐던 정확한 날짜는 무엇인가요?,0
